"user_id","skills","interests","preferred_event_type","preferred_mode"
"U001","Linux, Embedded Systems, Digital Electronics, ESP32","Internet of Things, Electronics, Ethical Hacking, Embedded Systems","Conference, Workshop","Both"
"U002","Machine Learning, Python, Data Analytics, SQL","Artificial Intelligence, Data Science, Generative AI","Tech Talk, Hackathon","Offline"
"U003","Communication, Animation, UI/UX Design, Graphic Design","UI/UX, Animation, Graphic Design","Conference","Online"
"U004","Software Development, HTML/CSS, Frontend Development, Backend Development, Node.js","App Development, Backend Development, Software Engineering","Bootcamp, Project Exhibition","Online"
"U005","Software Development, Frontend Development, Node.js, Web Development, App Development","Software Engineering, Frontend Development, Open Source, Web Development","Workshop, Project Exhibition","Online"
"U006","Computer Vision, Ethical Hacking, Deep Learning, Problem Solving, Natural Language Processing","Network Security, Data Analytics, Computer Vision","Competition","Both"
"U007","SQL, Backend Development, Software Development","Open Source, Software Engineering, App Development","Hackathon","Both"
"U008","Video Editing, Graphic Design, Communication, UI/UX Design","Animation, UI/UX, 3D Design","Bootcamp","Both"
"U009","Teamwork, Product Management, Entrepreneurship, Problem Solving, Digital Marketing, Business Strategy","Startups, Product Management, Entrepreneurship","Conference, Seminar","Online"
"U010","Generative AI, SQL, Data Science, Linux, Problem Solving, Data Analytics","Computer Vision, Machine Learning, Artificial Intelligence, Network Security, Digital Forensics","Tech Talk","Online"
"U011","JavaScript, Backend Development, React","Open Source, Backend Development, App Development, Web Development","Project Exhibition","Both"
"U012","Backend Development, Data Science, Web Development, App Development, SQL","Open Source, Web Development, App Development, Computer Vision","Hackathon, Competition","Online"
"U013","Animation, Digital Electronics, 3D Design, AWS","Cloud Architecture, Microcontrollers, DevOps, Graphic Design, Animation","Conference","Both"
"U014","Video Editing, Communication, 3D Design, CAD","Product Design, Graphic Design, 3D Design, UI/UX","Project Exhibition","Both"
"U015","React, SQL, JavaScript, Web Development","Software Engineering, Frontend Development, App Development, Web Development","Workshop","Offline"
"U016","UI/UX Design, Communication, 3D Design","UI/UX, Product Design, Graphic Design, Animation","Project Exhibition, Workshop","Both"
"U017","Project Management, Marketing, Business Strategy, Entrepreneurship","Innovation, Startups, Entrepreneurship","Seminar","Online"
"U018","3D Design, Data Analytics, Video Editing, Digital Electronics, Problem Solving, PCB Design, Technical Writing","UI/UX, Data Analytics, 3D Design, NLP, Embedded Systems, Internet of Things","Project Exhibition, Conference","Both"
"U019","Azure, Docker, AWS, DevOps","Cloud Computing, Software Engineering, Cloud Architecture, DevOps","Tech Talk","Both"
"U020","Kubernetes, AWS, Software Development, Linux, DevOps","Software Engineering, Cloud Architecture, Cloud Computing","Webinar, Workshop","Offline"
"U021","UI/UX Design, Animation, Graphic Design, CAD, Communication","Animation, 3D Design, Graphic Design, UI/UX","Conference, Project Exhibition","Offline"
"U022","Embedded Systems, Drone Technology, Internet of Things, Raspberry Pi, Automation, Leadership","Autonomous Systems, Smart Devices, Automation, Drones","Competition","Offline"
"U023","Docker, Problem Solving, Computer Vision, Generative AI, Linux, Natural Language Processing, Python","NLP, Generative AI, Data Analytics, Software Engineering","Conference","Both"
"U024","Animation, UI/UX Design, CAD, Video Editing","UI/UX, 3D Design, Graphic Design","Bootcamp","Offline"
"U025","UI/UX Design, Linux, Teamwork, SQL, Animation","Cybersecurity, Graphic Design, Data Analytics","Conference, Competition","Offline"
"U026","PCB Design, Internet of Things, Sensors, Automation, Arduino","Smart Devices, Robotics, Embedded Systems, Internet of Things","Hackathon, Workshop","Online"
"U027","Digital Forensics, Network Security, Problem Solving, Linux","Digital Forensics, Ethical Hacking, Network Security, Cyber Defense","Bootcamp","Offline"
"U028","Leadership, Embedded Systems, Circuit Design, PCB Design, Digital Forensics, Electronics","PCB Design, Internet of Things, Cybersecurity, Embedded Systems, Ethical Hacking","Hackathon","Both"
"U029","TypeScript, Web Development, Backend Development, Frontend Development","Open Source, Backend Development, Frontend Development, Software Engineering","Project Exhibition","Online"
"U030","ESP32, Embedded Systems, VLSI, Electronics, PCB Design","Electronics, Internet of Things, Microcontrollers, Embedded Systems","Hackathon, Seminar","Offline"
"U031","React, App Development, Web Development, Teamwork, Problem Solving","Software Engineering, App Development, Data Science","Project Exhibition","Online"
"U032","Electronics, Digital Electronics, VLSI, Embedded Systems, ESP32, Technical Writing","Electronics, Digital Electronics, Embedded Systems","Project Exhibition","Online"
"U033","Software Development, Frontend Development, SQL, Teamwork","Software Engineering, Backend Development, Open Source","Bootcamp","Offline"
"U034","CAD, 3D Design, Animation, Communication","Product Design, Animation, Graphic Design","Project Exhibition","Both"
"U035","UI/UX Design, Graphic Design, Content Creation","3D Design, Animation, Product Design, UI/UX","Conference","Both"
"U036","Automation, UI/UX Design, Raspberry Pi, Communication, Video Editing, Content Creation","Graphic Design, Smart Devices, UI/UX, Robotics, Product Design","Workshop, Project Exhibition","Online"
"U037","DevOps, Data Science, SQL, Problem Solving","Cloud Computing, Machine Learning, DevOps, Artificial Intelligence","Workshop, Tech Talk","Offline"
"U038","Network Security, Cryptography, Cybersecurity, Ethical Hacking, Linux","Cybersecurity, Network Security, Digital Forensics","Conference","Both"
"U039","Cryptography, Linux, Network Security","Network Security, Cybersecurity, Digital Forensics","Workshop","Online"
"U040","Communication, Product Management, Natural Language Processing, Public Speaking, Project Management","Innovation, Product Management, Data Science","Conference, Workshop","Online"
"U041","ESP32, PCB Design, VLSI","Internet of Things, Embedded Systems, Digital Electronics","Workshop","Online"
